Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W26,762062,308525,762062,308525,1070587,0.7118169751734329,0.2881830248265671,Large
2024-W27,252951,61739,252951,61739,314690,0.8038100988274175,0.19618990117258253,Large
2024-W28,406512,108082,406512,108082,514594,0.7899664589948581,0.2100335410051419,Large
2024-W29,434110,139454,434110,139454,573564,0.7568640988625507,0.24313590113744935,Large
2024-W30,630755,175734,630755,175734,806489,0.782099941846696,0.21790005815330402,Large
2024-W31,978513,214309,978513,214309,1192822,0.8203344673387982,0.17966553266120175,Large
2024-W32,544593,187152,544593,187152,731745,0.7442387717032573,0.2557612282967427,Large
2024-W33,518572,276782,518572,276782,795354,0.6520014987037218,0.34799850129627813,Large
2024-W34,816064,211823,816064,211823,1027887,0.7939238457145581,0.20607615428544188,Large
2024-W35,719510,238639,719510,238639,958149,0.7509374846709646,0.24906251532903545,Large
2024-W36,631354,301716,631354,301716,933070,0.6766416238867394,0.3233583761132605,Large
2024-W37,830611,323508,830611,323508,1154119,0.7196926833368136,0.28030731666318637,Large
2024-W38,779749,342212,779749,342212,1121961,0.6949876154340481,0.3050123845659519,Large
2024-W39,928480,450439,928480,450439,1378919,0.6733390431200093,0.32666095687999075,Large
2024-W40,752286,431512,752286,431512,1183798,0.6354851081012132,0.3645148918987868,Large
2024-W41,677492,328700,677492,328700,1006192,0.6733227853133398,0.3266772146866602,Large
2024-W42,667747,400613,667747,400613,1068360,0.6250205923097083,0.37497940769029164,Large
2024-W43,617812,460763,617812,460763,1078575,0.5728039311128109,0.42719606888718914,Large
2024-W44,930333,475072,930333,475072,1405405,0.6619679024907411,0.3380320975092589,Large
2024-W45,178670,147313,178670,147313,325983,0.5480960663592886,0.45190393364071135,Large
