Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-05-23,1053,706,1053,706,1759,0.5986355884025014,0.4013644115974986,Small
2024-05-24,712,846,712,846,1558,0.45699614890885754,0.5430038510911425,Small
2024-05-25,628,190,628,190,818,0.7677261613691931,0.23227383863080683,Small
2024-05-26,391,190,391,190,581,0.6729776247848537,0.3270223752151463,Small
2024-05-27,411,196,411,196,607,0.6771004942339374,0.3228995057660626,Small
2024-05-28,404,264,404,264,668,0.6047904191616766,0.39520958083832336,Small
2024-05-29,389,359,389,359,748,0.5200534759358288,0.4799465240641711,Small
2024-05-30,1607,660,1607,660,2267,0.7088663431848258,0.2911336568151742,Small
2024-05-31,683,1159,683,1159,1842,0.3707926167209555,0.6292073832790445,Small
2024-06-01,295,115,295,115,410,0.7195121951219512,0.2804878048780488,Small
2024-06-02,324,321,324,321,645,0.5023255813953489,0.49767441860465117,Small
2024-06-03,631,742,631,742,1373,0.45957756737072103,0.5404224326292789,Small
2024-06-04,435,494,435,494,929,0.4682454251883746,0.5317545748116254,Small
2024-06-05,333,254,333,254,587,0.5672913117546848,0.43270868824531517,Small
2024-06-06,2886,156,2886,156,3042,0.9487179487179487,0.05128205128205128,Small
2024-06-07,756,216,756,216,972,0.7777777777777778,0.2222222222222222,Small
2024-06-08,310,170,310,170,480,0.6458333333333334,0.3541666666666667,Small
2024-06-09,590,120,590,120,710,0.8309859154929577,0.16901408450704225,Small
2024-06-10,488,474,488,474,962,0.5072765072765073,0.49272349272349275,Small
2024-06-11,248,1277,248,1277,1525,0.16262295081967212,0.8373770491803278,Small
2024-06-12,425,637,425,637,1062,0.4001883239171375,0.5998116760828626,Small
2024-06-13,645,555,645,555,1200,0.5375,0.4625,Small
2024-06-14,1315,929,1315,929,2244,0.5860071301247772,0.4139928698752228,Small
2024-06-15,608,291,608,291,899,0.6763070077864294,0.3236929922135706,Small
2024-06-16,381,89,381,89,470,0.8106382978723404,0.18936170212765957,Small
2024-06-17,527,610,527,610,1137,0.4635004397537379,0.5364995602462621,Small
2024-06-18,403,253,403,253,656,0.614329268292683,0.3856707317073171,Small
2024-06-19,336,125,336,125,461,0.7288503253796096,0.27114967462039047,Small
2024-06-20,408,275,408,275,683,0.5973645680819912,0.40263543191800877,Small
2024-06-21,294,526,294,526,820,0.35853658536585364,0.6414634146341464,Small
2024-06-22,594,148,594,148,742,0.8005390835579514,0.19946091644204852,Small
2024-06-23,526,162,526,162,688,0.7645348837209303,0.23546511627906977,Small
2024-06-24,2335,859,2335,859,3194,0.7310582341891045,0.2689417658108954,Small
2024-06-25,663,423,663,423,1086,0.6104972375690608,0.38950276243093923,Small
2024-06-26,926,990,926,990,1916,0.48329853862212946,0.5167014613778705,Small
2024-06-27,1258,728,1258,728,1986,0.6334340382678751,0.36656596173212486,Small
2024-06-28,362,330,362,330,692,0.523121387283237,0.476878612716763,Small
2024-06-29,964,235,964,235,1199,0.8040033361134279,0.19599666388657214,Small
2024-06-30,1663,833,1663,833,2496,0.6662660256410257,0.33373397435897434,Small
2024-07-01,1017,1402,1017,1402,2419,0.4204216618437371,0.5795783381562629,Small
2024-07-02,930,349,930,349,1279,0.727130570758405,0.272869429241595,Small
2024-07-03,892,945,892,945,1837,0.48557430593358736,0.5144256940664126,Small
2024-07-04,503,154,503,154,657,0.7656012176560122,0.2343987823439878,Small
2024-07-05,471,509,471,509,980,0.4806122448979592,0.5193877551020408,Small
2024-07-06,661,257,661,257,918,0.7200435729847494,0.27995642701525053,Small
2024-07-07,1068,37,1068,37,1105,0.9665158371040724,0.0334841628959276,Small
2024-07-08,636,570,636,570,1206,0.527363184079602,0.472636815920398,Small
2024-07-09,680,580,680,580,1260,0.5396825396825397,0.4603174603174603,Small
2024-07-10,513,412,513,412,925,0.5545945945945946,0.4454054054054054,Small
2024-07-11,1806,556,1806,556,2362,0.7646062658763759,0.23539373412362405,Small
2024-07-12,796,944,796,944,1740,0.4574712643678161,0.542528735632184,Small
2024-07-13,816,323,816,323,1139,0.7164179104477612,0.2835820895522388,Small
2024-07-14,511,81,511,81,592,0.8631756756756757,0.13682432432432431,Small
2024-07-15,658,682,658,682,1340,0.491044776119403,0.508955223880597,Small
2024-07-16,1056,194,1056,194,1250,0.8448,0.1552,Small
2024-07-17,2536,897,2536,897,3433,0.7387124963588698,0.2612875036411302,Small
2024-07-18,891,917,891,917,1808,0.4928097345132743,0.5071902654867256,Small
2024-07-19,640,255,640,255,895,0.7150837988826816,0.2849162011173184,Small
2024-07-20,884,163,884,163,1047,0.8443170964660937,0.1556829035339064,Small
2024-07-21,1216,235,1216,235,1451,0.8380427291523087,0.16195727084769124,Small
2024-07-22,5395,1525,5395,1525,6920,0.7796242774566474,0.2203757225433526,Small
2024-07-23,1449,868,1449,868,2317,0.6253776435045317,0.37462235649546827,Small
2024-07-24,1307,924,1307,924,2231,0.5858359480053787,0.41416405199462125,Small
2024-07-25,1107,267,1107,267,1374,0.8056768558951966,0.1943231441048035,Small
2024-07-26,773,970,773,970,1743,0.4434882386689616,0.5565117613310384,Small
2024-07-27,839,190,839,190,1029,0.815354713313897,0.184645286686103,Small
2024-07-28,959,407,959,407,1366,0.7020497803806734,0.2979502196193265,Small
2024-07-29,2808,630,2808,630,3438,0.8167539267015707,0.18324607329842932,Small
2024-07-30,3573,849,3573,849,4422,0.8080054274084125,0.1919945725915875,Small
2024-07-31,1860,1584,1860,1584,3444,0.5400696864111498,0.45993031358885017,Small
2024-08-01,2253,600,2253,600,2853,0.7896950578338591,0.2103049421661409,Small
2024-08-02,2876,860,2876,860,3736,0.7698072805139187,0.23019271948608136,Small
2024-08-03,2228,452,2228,452,2680,0.8313432835820895,0.16865671641791044,Small
2024-08-04,2189,330,2189,330,2519,0.868995633187773,0.13100436681222707,Small
2024-08-05,2352,959,2352,959,3311,0.7103594080338267,0.28964059196617337,Small
2024-08-06,2275,218,2275,218,2493,0.9125551544324108,0.08744484556758925,Small
2024-08-07,5729,914,5729,914,6643,0.862411561041698,0.13758843895830197,Small
2024-08-08,1882,616,1882,616,2498,0.7534027221777422,0.2465972778222578,Small
2024-08-09,2717,1370,2717,1370,4087,0.6647908000978713,0.3352091999021287,Small
2024-08-10,1963,398,1963,398,2361,0.83142736128759,0.16857263871241,Small
2024-08-11,2105,152,2105,152,2257,0.9326539654408507,0.06734603455914931,Small
2024-08-12,2150,513,2150,513,2663,0.8073601201652272,0.19263987983477282,Small
2024-08-13,3363,645,3363,645,4008,0.8390718562874252,0.16092814371257486,Small
2024-08-14,4193,443,4193,443,4636,0.9044434857635893,0.0955565142364107,Small
2024-08-15,4362,722,4362,722,5084,0.8579858379228954,0.14201416207710466,Small
2024-08-16,2472,1250,2472,1250,3722,0.6641590542718968,0.3358409457281032,Small
2024-08-17,2660,481,2660,481,3141,0.8468640560331104,0.15313594396688954,Small
2024-08-18,2160,417,2160,417,2577,0.8381839348079162,0.16181606519208383,Small
2024-08-19,2660,866,2660,866,3526,0.7543959160521838,0.24560408394781622,Small
2024-08-20,2579,367,2579,367,2946,0.8754243041412084,0.12457569585879158,Small
2024-08-21,5655,2044,5655,2044,7699,0.7345109754513574,0.2654890245486427,Small
2024-08-22,3320,1664,3320,1664,4984,0.666131621187801,0.33386837881219905,Small
2024-08-23,3079,1015,3079,1015,4094,0.752076209086468,0.247923790913532,Small
2024-08-24,3052,589,3052,589,3641,0.8382312551496841,0.16176874485031584,Small
2024-08-25,2146,127,2146,127,2273,0.9441267047954246,0.05587329520457545,Small
2024-08-26,2104,471,2104,471,2575,0.8170873786407767,0.1829126213592233,Small
2024-08-27,2468,1203,2468,1203,3671,0.6722963770089894,0.32770362299101063,Small
2024-08-28,2641,475,2641,475,3116,0.8475609756097561,0.1524390243902439,Small
2024-08-29,8204,648,8204,648,8852,0.9267962042476277,0.07320379575237235,Small
2024-08-30,7651,639,7651,639,8290,0.92291917973462,0.07708082026537998,Small
2024-08-31,3164,465,3164,465,3629,0.8718655276935795,0.1281344723064205,Small
2024-09-01,2385,101,2385,101,2486,0.9593724859211585,0.04062751407884151,Small
2024-09-02,2093,161,2093,161,2254,0.9285714285714286,0.07142857142857142,Small
