Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W39,227484,12120,227484,12120,239604,0.9494165372865228,0.05058346271347724,Medium
2024-W40,261372,11910,261372,11910,273282,0.9564186444771335,0.04358135552286649,Medium
2024-W41,168224,10150,168224,10150,178374,0.9430970881406483,0.0569029118593517,Medium
2024-W42,184395,12408,184395,12408,196803,0.9369521806070029,0.06304781939299706,Medium
2024-W43,210117,16383,210117,16383,226500,0.9276688741721855,0.07233112582781456,Medium
2024-W44,214030,13693,214030,13693,227723,0.9398699296952877,0.060130070304712305,Medium
2024-W45,53643,7470,53643,7470,61113,0.8777674144617348,0.12223258553826519,Medium
2024-W14,50503,8053,50503,8053,58556,0.8624735296126784,0.13752647038732155,Large
2024-W15,142544,40288,142544,40288,182832,0.7796447011464076,0.22035529885359237,Large
2024-W16,101688,24894,101688,24894,126582,0.8033369673413282,0.19666303265867185,Large
2024-W17,121302,20714,121302,20714,142016,0.8541431951329428,0.14585680486705724,Large
2024-W18,182431,92626,182431,92626,275057,0.6632479813275066,0.3367520186724933,Large
2024-W19,148042,36334,148042,36334,184376,0.802935306113594,0.19706469388640604,Large
2024-W20,92051,39779,92051,39779,131830,0.6982553288325875,0.3017446711674126,Large
2024-W21,126107,26276,126107,26276,152383,0.8275660670809736,0.1724339329190264,Large
2024-W22,126476,125331,126476,125331,251807,0.5022735666601802,0.4977264333398198,Large
2024-W23,138316,26792,138316,26792,165108,0.8377304552171911,0.16226954478280883,Large
2024-W24,132914,35231,132914,35231,168145,0.7904725088465313,0.20952749115346872,Large
2024-W25,135215,18327,135215,18327,153542,0.8806385223587031,0.11936147764129684,Large
2024-W26,449147,76102,449147,76102,525249,0.8551125275821563,0.14488747241784372,Large
2024-W27,123525,35721,123525,35721,159246,0.7756866734486266,0.22431332655137334,Large
2024-W28,105648,21525,105648,21525,127173,0.8307423745606378,0.16925762543936212,Large
2024-W29,266653,44566,266653,44566,311219,0.8568018019465392,0.14319819805346073,Large
2024-W30,214277,78443,214277,78443,292720,0.7320203607543044,0.26797963924569557,Large
2024-W31,293485,70020,293485,70020,363505,0.8073754143684406,0.1926245856315594,Large
2024-W32,221445,110178,221445,110178,331623,0.6677612831438109,0.3322387168561891,Large
2024-W33,334627,52897,334627,52897,387524,0.8635000670926187,0.13649993290738122,Large
2024-W34,426463,46432,426463,46432,472895,0.9018132989352816,0.09818670106471838,Large
2024-W35,484275,118226,484275,118226,602501,0.8037745995442331,0.1962254004557669,Large
2024-W36,548762,36734,548762,36734,585496,0.9372600325194365,0.06273996748056349,Large
2024-W37,765099,72045,765099,72045,837144,0.9139395372839082,0.08606046271609186,Large
2024-W38,772396,63952,772396,63952,836348,0.9235342225963354,0.0764657774036645,Large
2024-W39,1000929,61538,1000929,61538,1062467,0.9420800834284735,0.05791991657152646,Large
2024-W40,1128502,176402,1128502,176402,1304904,0.8648161090777559,0.1351838909222441,Large
2024-W41,549050,54149,549050,54149,603199,0.910230288843317,0.08976971115668295,Large
2024-W42,598261,140227,598261,140227,738488,0.8101160750073122,0.18988392499268777,Large
2024-W43,618554,69631,618554,69631,688185,0.898819358166772,0.10118064183322799,Large
2024-W44,561714,86562,561714,86562,648276,0.8664735390481831,0.1335264609518168,Large
2024-W45,189782,20694,189782,20694,210476,0.9016800015203633,0.09831999847963663,Large
