Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W42,596119,666040,596119,666040,1262159,0.472301033388028,0.527698966611972,All
2024-W43,605318,303974,605318,303974,909292,0.6657025465966928,0.3342974534033072,All
2024-W44,827922,479054,827922,479054,1306976,0.6334638126484342,0.36653618735156573,All
2024-W45,151100,939134,151100,939134,1090234,0.13859409998220565,0.8614059000177944,All
2024-W14,3780,274,3780,274,4054,0.9324124321657622,0.06758756783423779,Small
2024-W15,6813,850,6813,850,7663,0.889077384836226,0.11092261516377398,Small
2024-W16,6980,1894,6980,1894,8874,0.7865675005634438,0.21343249943655623,Small
2024-W17,8284,1427,8284,1427,9711,0.8530532385954073,0.14694676140459273,Small
2024-W18,4482,8116,4482,8116,12598,0.3557707572630576,0.6442292427369424,Small
2024-W19,10691,942,10691,942,11633,0.9190234677211382,0.08097653227886185,Small
2024-W20,6020,2123,6020,2123,8143,0.7392852756969176,0.2607147243030824,Small
2024-W21,7433,9197,7433,9197,16630,0.4469633193024654,0.5530366806975345,Small
2024-W22,10748,6130,10748,6130,16878,0.6368053086858633,0.36319469131413673,Small
2024-W23,10747,2876,10747,2876,13623,0.7888864420465389,0.21111355795346107,Small
2024-W24,19335,13289,19335,13289,32624,0.5926618440411967,0.40733815595880335,Small
2024-W25,11668,3902,11668,3902,15570,0.7493898522800256,0.2506101477199743,Small
2024-W26,19609,6620,19609,6620,26229,0.7476076098974418,0.25239239010255826,Small
2024-W27,9471,788,9471,788,10259,0.9231893946778439,0.07681060532215615,Small
2024-W28,14430,2957,14430,2957,17387,0.8299304077759245,0.17006959222407547,Small
2024-W29,30887,4361,30887,4361,35248,0.8762766681797549,0.12372333182024511,Small
2024-W30,25050,6373,25050,6373,31423,0.7971867740190306,0.20281322598096935,Small
2024-W31,28438,27667,28438,27667,56105,0.506871045361376,0.493128954638624,Small
2024-W32,29327,6054,29327,6054,35381,0.8288912127978293,0.17110878720217065,Small
2024-W33,29793,6634,29793,6634,36427,0.8178823400225108,0.18211765997748922,Small
2024-W34,26904,6551,26904,6551,33455,0.8041847257510089,0.19581527424899117,Small
2024-W35,35393,53074,35393,53074,88467,0.40007008262968113,0.5999299173703189,Small
2024-W36,23407,12149,23407,12149,35556,0.658313646079424,0.341686353920576,Small
2024-W37,29495,8505,29495,8505,38000,0.7761842105263158,0.22381578947368422,Small
2024-W38,32078,12431,32078,12431,44509,0.720708171381069,0.279291828618931,Small
2024-W39,30149,15171,30149,15171,45320,0.6652471315092674,0.33475286849073255,Small
2024-W40,47712,78431,47712,78431,126143,0.3782373972396407,0.6217626027603593,Small
2024-W41,50019,17275,50019,17275,67294,0.743290635123488,0.256709364876512,Small
2024-W42,74728,83411,74728,83411,158139,0.4725463042007348,0.5274536957992652,Small
2024-W43,83112,31577,83112,31577,114689,0.7246728108188231,0.27532718918117693,Small
2024-W44,92826,48103,92826,48103,140929,0.6586720972972205,0.3413279027027794,Small
2024-W45,19430,171282,19430,171282,190712,0.10188137086287176,0.8981186291371283,Small
2024-W14,16427,2007,16427,2007,18434,0.8911250949332755,0.10887490506672454,Medium
2024-W15,24051,8574,24051,8574,32625,0.7371954022988506,0.26280459770114944,Medium
2024-W16,29157,8658,29157,8658,37815,0.7710432368107893,0.22895676318921063,Medium
2024-W17,35458,5595,35458,5595,41053,0.8637127615521399,0.1362872384478601,Medium
2024-W18,31644,46544,31644,46544,78188,0.40471683634317285,0.5952831636568271,Medium
2024-W19,32030,5192,32030,5192,37222,0.8605126000752243,0.13948739992477566,Medium
2024-W20,26573,7612,26573,7612,34185,0.7773292379698699,0.22267076203013017,Medium
2024-W21,33008,40895,33008,40895,73903,0.4466395139574848,0.5533604860425152,Medium
2024-W22,45616,23046,45616,23046,68662,0.6643558300078646,0.33564416999213537,Medium
2024-W23,39592,8915,39592,8915,48507,0.816212093099965,0.18378790690003505,Medium
2024-W24,81143,73165,81143,73165,154308,0.5258508956113747,0.47414910438862534,Medium
2024-W25,51442,16965,51442,16965,68407,0.7519990644232315,0.24800093557676847,Medium
2024-W26,88623,27050,88623,27050,115673,0.7661511329350843,0.23384886706491576,Medium
2024-W27,42915,2896,42915,2896,45811,0.9367837418960512,0.06321625810394883,Medium
2024-W28,42047,15315,42047,15315,57362,0.7330114012761061,0.26698859872389386,Medium
2024-W29,100221,21579,100221,21579,121800,0.8228325123152709,0.17716748768472906,Medium
2024-W30,104272,55411,104272,55411,159683,0.6529937438550127,0.34700625614498726,Medium
2024-W31,121890,114294,121890,114294,236184,0.5160806828574331,0.4839193171425668,Medium
2024-W32,98339,23654,98339,23654,121993,0.80610362889674,0.19389637110326002,Medium
2024-W33,110219,27252,110219,27252,137471,0.8017618261306021,0.1982381738693979,Medium
2024-W34,126080,34626,126080,34626,160706,0.7845382250818265,0.21546177491817356,Medium
2024-W35,144399,180056,144399,180056,324455,0.4450509315621581,0.554949068437842,Medium
2024-W36,104777,43800,104777,43800,148577,0.7052033625662114,0.29479663743378853,Medium
2024-W37,152374,30326,152374,30326,182700,0.8340120415982485,0.1659879584017515,Medium
2024-W38,137867,41164,137867,41164,179031,0.7700733392540957,0.22992666074590434,Medium
2024-W39,140363,42400,140363,42400,182763,0.7680055591120741,0.2319944408879259,Medium
