Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W45,67461,14003,67461,14003,81464,0.8281081213787685,0.17189187862123145,Small
2024-W14,20612,5075,20612,5075,25687,0.8024292443648539,0.19757075563514617,Medium
2024-W15,34963,7684,34963,7684,42647,0.8198231997561376,0.1801768002438624,Medium
2024-W16,57261,14078,57261,14078,71339,0.8026605363125359,0.19733946368746408,Medium
2024-W17,53552,12455,53552,12455,66007,0.8113078915872559,0.18869210841274411,Medium
2024-W18,61901,15439,61901,15439,77340,0.8003749676752004,0.19962503232479958,Medium
2024-W19,60318,19591,60318,19591,79909,0.7548336232464429,0.24516637675355718,Medium
2024-W20,84581,8118,84581,8118,92699,0.9124262397652617,0.08757376023473824,Medium
2024-W21,60924,11050,60924,11050,71974,0.8464723372328896,0.15352766276711036,Medium
2024-W22,82305,14128,82305,14128,96433,0.8534941358248732,0.14650586417512676,Medium
2024-W23,109116,36074,109116,36074,145190,0.7515393622150286,0.2484606377849714,Medium
2024-W24,64699,19317,64699,19317,84016,0.7700795086650162,0.22992049133498382,Medium
2024-W25,88265,17447,88265,17447,105712,0.8349572423187528,0.16504275768124715,Medium
2024-W26,106314,40699,106314,40699,147013,0.7231605368232741,0.27683946317672586,Medium
2024-W27,65771,13653,65771,13653,79424,0.8280998186946011,0.17190018130539886,Medium
2024-W28,75278,23886,75278,23886,99164,0.7591262958331653,0.24087370416683473,Medium
2024-W29,127023,44242,127023,44242,171265,0.7416751817359063,0.25832481826409365,Medium
2024-W30,205150,31627,205150,31627,236777,0.8664270600607322,0.13357293993926775,Medium
2024-W31,180220,27786,180220,27786,208006,0.8664173148851475,0.13358268511485247,Medium
2024-W32,237891,51161,237891,51161,289052,0.8230041653404924,0.17699583465950763,Medium
2024-W33,252861,55192,252861,55192,308053,0.8208360249697292,0.17916397503027076,Medium
2024-W34,261009,66373,261009,66373,327382,0.7972613033092839,0.20273869669071604,Medium
2024-W35,292429,58798,292429,58798,351227,0.8325925968106097,0.16740740318939035,Medium
2024-W36,345928,80318,345928,80318,426246,0.8115689062184748,0.18843109378152523,Medium
2024-W37,414762,106409,414762,106409,521171,0.7958270893814122,0.20417291061858775,Medium
2024-W38,538893,112922,538893,112922,651815,0.8267575922616079,0.17324240773839203,Medium
2024-W39,500526,128388,500526,128388,628914,0.7958576212327918,0.20414237876720823,Medium
2024-W40,593241,129994,593241,129994,723235,0.8202603579749321,0.17973964202506792,Medium
2024-W41,564717,94081,564717,94081,658798,0.8571929483696065,0.14280705163039353,Medium
2024-W42,520995,103832,520995,103832,624827,0.8338228021516356,0.16617719784836443,Medium
2024-W43,429091,103734,429091,103734,532825,0.8053131891333928,0.19468681086660725,Medium
2024-W44,511392,113866,511392,113866,625258,0.8178895751833644,0.1821104248166357,Medium
2024-W45,81410,29323,81410,29323,110733,0.7351918578924078,0.2648081421075921,Medium
2024-W14,113880,57887,113880,57887,171767,0.6629911449812828,0.3370088550187172,Large
2024-W15,235373,90633,235373,90633,326006,0.7219897793292148,0.2780102206707852,Large
2024-W16,333793,87630,333793,87630,421423,0.792061657764289,0.20793834223571092,Large
2024-W17,372230,387878,372230,387878,760108,0.4897067258863214,0.5102932741136785,Large
2024-W18,490747,191434,490747,191434,682181,0.7193794608762191,0.28062053912378093,Large
2024-W19,372181,141382,372181,141382,513563,0.7247036877656685,0.27529631223433154,Large
2024-W20,618169,167313,618169,167313,785482,0.7869932092651392,0.2130067907348609,Large
