Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,3300,5876,3300,5876,9176,0.3596338273757629,0.6403661726242371,Medium
2024-W15,5933,5394,5933,5394,11327,0.5237927076895913,0.47620729231040876,Medium
2024-W16,8251,7992,8251,7992,16243,0.5079726651480638,0.4920273348519362,Medium
2024-W17,12669,6222,12669,6222,18891,0.6706368111799269,0.32936318882007304,Medium
2024-W18,9456,13300,9456,13300,22756,0.4155387590086131,0.5844612409913869,Medium
2024-W19,15549,9569,15549,9569,25118,0.6190381399792977,0.38096186002070226,Medium
2024-W20,61963,17133,61963,17133,79096,0.7833898047941742,0.21661019520582583,Medium
2024-W21,17151,4548,17151,4548,21699,0.7904050877920642,0.20959491220793586,Medium
2024-W22,17632,21926,17632,21926,39558,0.4457252641690682,0.5542747358309318,Medium
2024-W23,18702,8868,18702,8868,27570,0.6783460282916213,0.32165397170837867,Medium
2024-W24,13116,22439,13116,22439,35555,0.3688932639572493,0.6311067360427507,Medium
2024-W25,21843,6266,21843,6266,28109,0.7770820733572877,0.2229179266427123,Medium
2024-W26,36520,31597,36520,31597,68117,0.536136353626848,0.4638636463731521,Medium
2024-W27,20436,7379,20436,7379,27815,0.7347114866079454,0.26528851339205467,Medium
2024-W28,56166,9490,56166,9490,65656,0.8554587547215792,0.14454124527842085,Medium
2024-W29,64695,10809,64695,10809,75504,0.8568420216147489,0.1431579783852511,Medium
2024-W30,68910,29529,68910,29529,98439,0.7000274281534757,0.29997257184652426,Medium
2024-W31,78791,12745,78791,12745,91536,0.8607651634329663,0.13923483656703373,Medium
2024-W32,93262,10838,93262,10838,104100,0.8958885686839577,0.10411143131604227,Medium
2024-W33,86040,21334,86040,21334,107374,0.8013113044126139,0.19868869558738614,Medium
2024-W34,138462,18975,138462,18975,157437,0.879475599763715,0.120524400236285,Medium
2024-W35,168534,47417,168534,47417,215951,0.7804270413195586,0.2195729586804414,Medium
2024-W36,133231,41851,133231,41851,175082,0.7609634342765105,0.23903656572348955,Medium
2024-W37,156007,20937,156007,20937,176944,0.8816744280676372,0.11832557193236277,Medium
2024-W38,141032,30517,141032,30517,171549,0.8221091349993296,0.17789086500067036,Medium
2024-W39,174700,30326,174700,30326,205026,0.8520870523738453,0.14791294762615473,Medium
2024-W40,129317,28592,129317,28592,157909,0.818933689656701,0.18106631034329898,Medium
2024-W41,110125,41843,110125,41843,151968,0.724659138766056,0.27534086123394397,Medium
2024-W42,94865,25142,94865,25142,120007,0.7904955544259918,0.20950444557400819,Medium
2024-W43,87038,28659,87038,28659,115697,0.7522926264293802,0.2477073735706198,Medium
2024-W44,86087,32495,86087,32495,118582,0.7259702147037493,0.2740297852962507,Medium
2024-W45,17144,10543,17144,10543,27687,0.6192075703398707,0.38079242966012933,Medium
2024-W14,51695,51782,51695,51782,103477,0.4995796167264223,0.5004203832735777,Large
2024-W15,89671,58972,89671,58972,148643,0.6032641967667499,0.39673580323325014,Large
2024-W16,125511,162839,125511,162839,288350,0.4352731056008323,0.5647268943991677,Large
2024-W17,77365,181301,77365,181301,258666,0.2990922657017157,0.7009077342982842,Large
2024-W18,83810,77720,83810,77720,161530,0.518850987432675,0.48114901256732495,Large
2024-W19,112089,193731,112089,193731,305820,0.3665195212870316,0.6334804787129684,Large
2024-W20,410663,197369,410663,197369,608032,0.6753970185779696,0.3246029814220304,Large
2024-W21,112918,148352,112918,148352,261270,0.43218892333601255,0.5678110766639874,Large
2024-W22,85097,114167,85097,114167,199264,0.4270565681708688,0.5729434318291312,Large
2024-W23,123853,87545,123853,87545,211398,0.5858759307088998,0.4141240692911002,Large
2024-W24,89071,117540,89071,117540,206611,0.4311048298493304,0.5688951701506696,Large
2024-W25,148584,55893,148584,55893,204477,0.7266538534896345,0.2733461465103655,Large
2024-W26,295269,231649,295269,231649,526918,0.5603699247321215,0.4396300752678785,Large
2024-W27,83053,18169,83053,18169,101222,0.8205034478670644,0.17949655213293553,Large
2024-W28,153099,28154,153099,28154,181253,0.8446701571836053,0.15532984281639475,Large
2024-W29,168840,70572,168840,70572,239412,0.7052278081299183,0.2947721918700817,Large
2024-W30,247156,111460,247156,111460,358616,0.689194012537087,0.310805987462913,Large
2024-W31,285543,89917,285543,89917,375460,0.7605151014755234,0.23948489852447663,Large
2024-W32,242632,52654,242632,52654,295286,0.8216847395406487,0.17831526045935128,Large
2024-W33,216594,69373,216594,69373,285967,0.7574090716761025,0.2425909283238975,Large
2024-W34,346763,74302,346763,74302,421065,0.8235379335732013,0.1764620664267987,Large
2024-W35,417869,151453,417869,151453,569322,0.7339765545684165,0.2660234454315835,Large
2024-W36,400471,148916,400471,148916,549387,0.7289415293772877,0.2710584706227122,Large
2024-W37,453834,96522,453834,96522,550356,0.8246189739005299,0.17538102609947015,Large
2024-W38,383689,123496,383689,123496,507185,0.7565069944891903,0.24349300551080966,Large
2024-W39,448296,156554,448296,156554,604850,0.7411688848474829,0.25883111515251717,Large
2024-W40,433995,201893,433995,201893,635888,0.6825022645497321,0.317497735450268,Large
2024-W41,278512,163994,278512,163994,442506,0.6293971155193376,0.3706028844806624,Large
2024-W42,333220,104710,333220,104710,437930,0.7608978603886466,0.2391021396113534,Large
2024-W43,230801,92058,230801,92058,322859,0.7148662419198474,0.2851337580801526,Large
2024-W44,252063,100696,252063,100696,352759,0.7145473255111847,0.2854526744888153,Large
2024-W45,48432,38100,48432,38100,86532,0.55970045763417,0.44029954236582997,Large
